url,name,artist,composer,lyrics,duration,quality,genre,origin
https://www.nhaccuatui.com/bai-hat/khuc-hat-song-que-dang-hong-nhung.QgPxfETOIcNU.html,Khúc Hát Sông Quê,Đặng Hồng Nhung,N/A,- Hiện chưa có lời bài hát nào cho Khúc Hát Sông Quê do ca sĩ Đặng Hồng Nhung trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này.,PT5M16S,"('N/A', 'N/A')",Trữ Tình,VIỆT NAM
https://www.nhaccuatui.com/bai-hat/chon-phon-hoa-dj-trang-moon-remix-chau-khai-phong.tSv1WgcFbTOB.html,Chốn Phồn Hoa (DJ Trang Moon Remix),Châu Khải Phong,N/A,"Lôn dồn qua lùa cắm ngóc ngà như thế
Bao nhiêu âm tình xưa em đã xóa đi
Chân thường quá thịnh,
chân thường quá thịnh
Bình yên, sơ sát mát hiền,
nắng mưa gió sương không than thiền
Hẹn gặp về sau,
suốt kiếp có nhau
Những ngày nào ngờ sắp búa màu
Để ngày hôm nay biết lệ kháy
Thấy em đẹp trong chiếc váy Tay nắm tay,
người anh
Nằm nhìn từ sâu,
không trao nhau Tay bên họ đang rửa sâu
Nên nỗi đau quay lưng chạy lòng bước mau
Bàn tay thấp thế nào nếu giữ được chữ duyên
Đời chẳng nán nhiên,
tất cả cũng bởi vì bạn yêu
Đời bình yên chỉ mỗi anh còn ôm mong
Đêm đêm vơi trên đắng u sầu nhớ mong
Người ta cho vang chỉ để có được tám thân
Đời nắng trái ngang,
chẳng mong em không phải ân hạnh
Trốn xồn và đùa,
gắn ngóc ngà như ý
Bao nhiêu ân tình xưa em đã xóa đi
Nhìn từ sau không trao nhau,
hai bên họ đang ước sâu
Nên nỗi đau quậy lưng chạy lòng bước mau
Bàn tay thấp thế nào nếu giữ được chứ duyên
Đời chẳng an nhiên,
tất cả cũng bởi vì bạc tiên
Nơi bình yên chỉ mỗi anh còn ôm mong
Đêm đêm vơi trên răng hôn sầu nhớ mong
Người ta cho vang chỉ để có được ta âm thân
Đời lắm trai ngang,
đâu mong em không phải âm hồn
Chốn dòng hoa lùa gắn góc là như ý
Bao nhiêu ân tình xưa em đã xóa đi
Mặc tay giấc mơ nào nếu giữ được chứ duyên
Đời chẳng an yên tất cả cũng bởi vì bạc biên
Thấy bình yên chỉ mỗi anh còn ôm mong
Đêm đêm vơi chen đắng ngủ sầu nhớ mong
Người ta cho dàng chỉ để có được đám thân
Đời nắm chai ngang,
thơ mong em không phải ân hạn
Trốn xôn hoa, ngùa cắn góc nhà như ý
Bao nhiêu ân tình xưa em đã xóa đi",PT4M7S,"('N/A', 'N/A')",Remix Việt,VIỆT NAM
https://www.nhaccuatui.com/bai-hat/turbo-vy-jacko-ft-vy-melo.OWmaIxqaq2m2.html,TURBO,Vy Jacko,"Vy Jacko
                            
                        ","Hook ( VY Melo) :
I got brand new chain, I got brand new car
My tail got flame, I just wanna go far
Trên con xe tao lướt, khi tao thấy mùi tiền
Tăng ga về phía trước, xé tan những muộn phiền
,
Verse 1 (VY Melo) :
Running the game, homie xông lên, trông anh hơi bướng lời mẹ cha anh không quên
Hỏi con đi đâu, con đi cứu bạn, cầm đồ đi ngay trong đêm
Anh luôn xuất sắc ngay cả khi anh không muốn
Anh sẽ bắt tay ngay cả khi anh không uống
Vì ngồi cùng mâm là những người sát hai bên, người đưa anh lên chứ không muốn đưa anh xuống
Chuẩn phải từng centimet, không có sai sót trong suốt chặng đường dài
Không được cô đơn khi chết, sống cho hiện tại một tay viết tương lai
Put some money in the bank, không có hận thù thì làm sao biết thương ai
Trong ví có thật nhiều màu xanh, khi melo tỉnh giấc là David vươn vai
Bởi vì mày phải tin vào nó
Khi tao đang vào số
Mấy thằng nhóc ngoài kia
Tốt nhất là đừng cố
Bởi vì mày phải tin vào nó
Khi tao đang vào số
Mấy thằng nhóc ngoài kia, ngoài kia, ngoài kia...

Hook ( VY Melo) :
I got brand new chain, I got brand new car
My tail got flame, I just wanna go far
Trên con xe tao lướt, khi tao thấy mùi tiền
Tăng ga về phía trước, xé tan những muộn phiền x2

Verse 2( VY Jacko) :
Đôi mắt lồi phi thật nhanh
Hạt giống số 1 một khi đua không cần phanh
Chỗ mà anh lướt nó sẽ bốc lên 1 Mùi tanh,
1 màu xanh dương, trông anh ương và đành hanh, một khi anh đã tăng ga như là ban xuống phước lành
Holy moly cực căng
Đá số , bẻ vô lăng
Cua tràn cả xăng, tốc độ phải tăng như xuyên thủng mặt trăng
Money dance with my whole gang gang
Đâm qua đất xét tựa như 1 bông sen
Bọn anh pull up chờ giờ xông lên
Như tình yêu ấy cả đời không quên
Những ngày mưa, đưa mọi thứ trở về xưa, anh chỉ muốn thằng bé đó có được thứ mình mong cầu
Quần áo và style, anh không cần care một ai, tông là va chạm ngay chứ *** phải là tông màu
Kẻ thù đằng sau , chỉ chờ anh đau, qua khung cửa sổ anh chỉ thấy nó cau mày
Miệng thì nam mô bụng bồ dao găm, karma sẽ đến với chú em vào sau này
Cầu cho anh em ở trên đường đua, xử lý gọn cua rồi xưng vương ở khắp vùng
Gặt to tiền to, hút là phải ho, chớm thấy có biển to là phải gọi tôi đắp cùng

Hook ( VY Jacko x VY Melo) :
I got brand new chain, I got brand new car
My tail got flame, I just wanna go far
Trên con xe tao lướt, khi tao thấy mùi tiền
Tăng ga về phía trước, xé tan những muộn phiền x3",PT4M16S,"('N/A', 'N/A')",Rap Việt,VIỆT NAM
https://www.nhaccuatui.com/bai-hat/con-thuyen-xa-ben-duy-trac.64aO65ekIkA0.html,Con Thuyền Xa Bến ,Duy Trác,N/A,- Hiện chưa có lời bài hát nào cho Con Thuyền Xa Bến  do ca sĩ Duy Trác trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này.,PT3M35S,"('N/A', 'N/A')",Tiền Chiến,VIỆT NAM
https://www.nhaccuatui.com/bai-hat/chi-con-ta-trong-mot-doi-thai-hoa.JFv5lOnHqQ.html,Chỉ Còn Ta Trong Một Đời,Thái Hòa,N/A,"Sáng tác: Trịnh Công Sơn
------------------------
Đời vẽ tôi tên mục đồng
Rồi vẽ thêm con ngựa hồng
Từ đó lên đường phiêu linh
Đời vẽ trong tôi một ngày
Rồi vẽ thêm đêm thật dài
Từ đó tôi thề sẽ rong chơi

Chỉ có ta trong một đời
Chỉ có ta trong một thời
Một thời với yêu người mà thôi
Chào những cây xanh nụ hồng
Chào những con sông thị thành
Một ngày sẽ không còn thấy lại
Từng ngày đi dần tới
Hẹn hò với trời mây

Đời vẽ tóc em thật dài
Rồi vẽ môi thơm nụ cười
Từ đó thiên hạ vui tươi
Đời vẽ tim em lạ kỳ
Tình có trong em nhiều mùa
Từ đó thiên hạ quá ưu tư

Đời vẽ tôi trong cuộc tình
Đầy những yêu thương giận hờn
Từ đó sớm chiều bâng khuâng
Đời vẽ tôi tên tuyệt vọng
Vì lỡ nơi đây nặng tình
Từ đó tôi chìm dưới mênh mông 

Đời đã cho tôi ngậm ngùi
Đời sẽ cho thêm ngọt bùi
Đời sống chan hoà trong tôi
Đời đã cho tôi một ngày
Nhìn thấy gian manh loài người
Từ đó tôi hằng biếng vui chơi.",PT5M5S,"('N/A', 'N/A')",Nhạc Trịnh,VIỆT NAM
https://www.nhaccuatui.com/bai-hat/ban-tinh-ca-thang-5-buc-tuong.6AA5hOm4JVev.html,Bản Tình Ca Tháng 5,Bức Tường,N/A,"Bài hát: Bản Tình Ca Tháng 5 - Bức Tường

Ngủ vùi cùng ký ức về trong giấc mơ luôn gọi tên
Đôi khi tôi muốn cố quên đi, nhưng xoá sao ngàn vết dấu
Thèm trở lại nơi đã từng, ngày đó khi ta gần bên
Rồi một ngày em đã quay lưng,
trong cơn mưa tháng 5...

Dấu chân lạc bước trên phố quen, nơi cơn mơ tôi đi vào.
Để tìm lại đúng nơi trước khi ào ạt cơn mưa tới
Muốn sửa lại phút giây đã sai cho em sẽ quay ngoảnh lại
Bài tình ca tháng 5 dành cho em
Còn ngân vang hay tan biến theo mưa ướt nhoà...

Rồi từng ngày vẫn như thường, nắng có xua bớt muộn phiền
Những ước muốn rồi sẽ phai dần khi giấc mơ qua một đêm
Trong cơn mưa như bất tận, vẫn thấy đâu đây một tiếng cười
Ánh mắt ấy vẫn chứa chan dịu dàng
Khi giấc mơ qua...

Dấu chân lạc bước trên phố quen, nơi cơn mơ tôi đi vào
Để tìm về đúng nơi trước khi ào ạt cơn mưa tới
Muốn sửa lại phút giây đã sai cho em sẽ quay ngoảnh lại
Bài tình ca tháng 5 dành cho em
Vội tan trong mưa...

Dấu chân lạc bước trên phố quen, nơi cơn mơ tôi đi vào
Để tìm lại đúng nơi trước khi ào ạt cơn mưa tới
Muốn sửa lại phút giây đã sai cho em sẽ quay ngoảnh lại
Bài tình ca tháng 5 dành cho em
Vội tan trong mưa...",PT4M3S,"('N/A', 'N/A')",Rock Việt,VIỆT NAM
https://www.nhaccuatui.com/bai-hat/duong-chung-ta-di-khanh-hoang-ft-duc-toan-ft-le-thai.rXmEypXs8nae.html,Đường Chúng Ta Đi,Khanh Hoàng,N/A,"- Hiện chưa có lời bài hát nào cho Đường Chúng Ta Đi do ca sĩ Khanh Hoàng, Đức Toàn, Lê Thái trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này.",PT4M25S,"('N/A', 'N/A')",Cách Mạng,VIỆT NAM
https://www.nhaccuatui.com/bai-hat/no-allowance-mason-ray-parker.vK1SUBiQpNBc.html,No Allowance,Mason Ray Parker,N/A,- Hiện chưa có lời bài hát nào cho No Allowance do ca sĩ Mason Ray Parker trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này.,PT2M44S,"('N/A', 'N/A')",R&B/Hip Hop/Rap,ÂU MỸ
https://www.nhaccuatui.com/bai-hat/the-trolley-song-from-meet-me-in-stlouis-1944-judy-garland.OoFd3N9q71KH.html,The Trolley Song (From Meet Me In St.Louis 1944),Judy Garland,N/A,"[Chorus 1]
[PASSENGERS]
Clang, clang, clang went the trolley
Ding, ding, ding went the bell
***, ***, *** went my heartstrings
As we started for Huntington Dell
Chug, chug, chug went the motor
Bump, bump, bump went the brakes
Thump, thump, thump went my heartstrings
As we glided by Huntington Lake
The day was bright, the air was sweet
The smell of honeysuckle charmed me off my feet
I had to sing but couldn't squeak
In fact, I felt so good I couldn't even speak
Buzz, buzz, buzz went the buzzer
Time for all to disembark
Time to fall went my heartstrings
As we got off at Huntington Park
As we got off at Huntington Park

[Verse]
[ESTHER]
With my high-starched collar and my high-topped shoes
And my hair piled high upon my head
I went to lose a jolly
Hour on the trolley
And lost my heart instead
With his light brown derby and his light green tie
He was quite the handsomest of men
I started to yen
So I counted to ten
Then I counted to ten again

[Chorus 2]
[ESTHER]
Clang, clang, clang went the trolley
Ding, ding, ding went the bell
***, ***, *** went my heartstrings
From the moment I saw him, I fell
Chug, chug, chug went the motor
Bump, bump, bump went the brake
Thump, thump, thump went my heartstrings
When he smiled, I could feel the car shake

[PASSENGERS]
Clang! Clang! Clang!

[ESTHER]
He tipped his hat and took a seat
He said he hoped he hadn't stepped upon my feet
He asked my name, I held my breath
I couldn't speak because he scared me half to death

[CONDUCTOR]
Hiya, Johnny!

[ESTHER]
Chug, chug, chug went the motor
Pop, pop, pop went the wheels
Stop, stop, stop went my heartstrings
As he started to go
Then I started to know
How it feels
When the universe reels

[PASSENGERS]
The day was bright, the air was sweet
The smell of honeysuckle charmed you off your feet
You tried to sing but couldn't squeak
In fact, you loved him so you couldn't even speak

[ESTHER]
Buzz, buzz, buzz went the buzzer
Pop, pop, pop went the wheels
Stop, stop, stop went my heartstrings
As he started to leave
I took hold of his sleeve
With my hand
And as if it were planned
He stayed on with me and
It was grand
Just to stand
With his hand
Holding mine
To the end of the line",PT3M52S,"('N/A', 'N/A')",Blues/Jazz,ÂU MỸ
https://www.nhaccuatui.com/bai-hat/on-the-road-again-live-willie-nelson.RmrOeFN59cUb.html,On the Road Again (Live),Willie Nelson,N/A,- Hiện chưa có lời bài hát nào cho On the Road Again (Live) do ca sĩ Willie Nelson trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này.,PT2M32S,"('N/A', 'N/A')",Country,ÂU MỸ
